Stock Symbol,Company Name,Stock Exchange,Cpn Rate/Ann Amt,LiqPref/CallPrice,Call Date/Matur Date,Moodys/S&P Dated,Distribution Dates,15% Tax Rate,Parent Company,IPO,Total IPO Units,$ Per,Previous Ticker Symbol,Change Symbol Date,Market Value
ACGLO ,Arch Capital Group Ltd,NGS,5.45%$1.36  ,$25.00 $25.00 ,8/17/2022 None  ,Baa3BBB11/20/2020,3/31 - 6/30 - 9/30 & 12/31Cl,YES,ACGL,8/14/2017,8.00 Million Shares,$25.00/share.,AHCCF,8/21/2017,$200.0 Million
COWNL ,Cowen,NGS,7.75%$1.94  ,$25.00 $25.00 ,6/15/2023 6/15/2033  ,NF NF 4/04/2021,3/15 - 6/15 - 9/15 & 12/15Cl,No,COWN,6/4/2018,3.60 Million Notes,$25.00/note.,-,-,$90.0 Million
AEB   ,AEGON N.V.,NYSE,Variable n.a.,$25.00 $25.00 ,12/15/2010 None  ,Baa1BBB4/04/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,AEG,11/18/2005,10.00 Million Shares,$25.00/share.,AEO,12/05/2006,$250.0 Million
NI-B  ,NiSource,NYSE,6.50%$1.63  ,$25.00 $25.00 ,3/15/2024 None  ,Ba1BBB-4/05/2021,3/15 - 6/15 - 9/15 & 12/15Cl,YES,NI,11/28/2018,20.00 Million Shares,$25.00/share.,NISOP,1/04/2019,$500.0 Million
TANNL ,TravelCenters of America Inc.,NGS,8.00%$2.00  ,$25.00 $25.00 ,12/15/2017 12/15/2029  ,NR NF 1/28/2021,2/28 - 5/31 - 8/31 & 11/30Cl,No,TA,12/9/2014,4.80 Million Notes,$25.00/note.,TANO,7/01/2016,$119.0 Million
ALLY-A,GMAC Capital Trust I,NYSE,FixFloat $2.03125 ,$25.00 $25.00 ,Partial Call7/02/20212/15/,Ba3BB-7/10/2020,2/15 - 5/15 - 8/15 & 11/15Cl,No,-,-,-,-,$2.7 Billion
FMBIO ,First Midwest Bancorp,NGS,7.00%$1.75 ,$25.00 $25.00 ,8/20/2025 None  ,Ba1BB-1/20/2021,2/20 - 5/20 - 8/20 & 11/20Cl,YES,FMBI,6/18/2020,4.40 Million Shares,$25.00/share.,FMDWL,7/06/2020,$110.0 Million
HIG-G ,Hartford Financial Services Group,NYSE,6.00%$1.50  ,$25.00 $25.00 ,11/15/2023 None  ,Baa3BBB-12/02/2020,2/15 - 5/15 - 8/15 & 11/15Cl,YES,HIG,10/30/2018,12.00 Million Shares,$25.00/share.,HIGJL,11/16/2018,$300.0 Million
RCA   ,Ready Capital Corp.,NYSE,7.00%$1.75  ,$25.00 $25.00 ,8/15/2021 8/15/2023  ,NF NF 3/22/2021,1.4997 $16.67 ,"2/15, 5/15, 8/15 & 11/15Cl",No,RC,8/3/2017,4.00 Million Notes,$25.00/note.,SLDA,10/01/2018,$101.0 Million
PRS   ,Prudential Financial,NYSE,5.63%$1.41  ,$25.00 $25.00 ,8/15/2023 8/15/2058  ,Baa1BBB+1/28/2021,2/15 - 5/15 - 8/15 & 11/15Cl,No,PRU,8/6/2018,20.00 Million Notes,$25.00/note.,-,-,$500.0 Million
PPX   ,PPL Capital Funding,NYSE,5.90%$1.48  ,$25.00 $25.00 ,4/30/2018 4/30/2073  ,Baa3BBB11/19/2020,1/30 - 4/30 - 7/30 & 10/30Cl,No,PPL,3/12/2013,16.00 Million Notes,$25.00/note.,-,-,$400.0 Million
DRUA  ,Dominion Energy,NYSE,5.25%$1.31  ,$25.00 $25.00 ,7/30/2021 7/30/2076  ,Baa3BBB-11/20/2020,1/30 - 4/30 - 7/30 & 10/30Cl,No,D,7/13/2016,32.00 Million Notes,$25.00/note.,-,-,$800.0 Million
SOJD  ,Southern Co. Series 2020A 4.95% Junior Subordinated Notes due 01/30/2080,NYSE,4.95%$1.2375 ,$25.00 $25.00 ,1/30/2025 1/30/2080  ,Baa3BBB10/18/2020,1/30 - 4/30 - 7/30 & 10/30Cl,No,SO,1/6/2020,40.00 Million Notes,$25/note.,STHNP,1/10/2020,$1000.0 Billion
UBP-H ,Urstadt Biddle Properties,NYSE,6.25%$1.56  ,$25.00 $25.00 ,9/18/2022 None  ,NF NF 12/16/2020,1/31 - 4/30 - 7/31 & 10/31Cl,No,UBP,9/14/2017,4.00 Million Shares,$25.00/share.,URRDP,9/21/2017,$100.0 Million
OXLCM ,Oxford Lane Capital Corp.,NGS,6.75%$1.69  ,$25.00 $25.00 ,6/30/2020 6/30/2024  ,NF NF 3/18/2021,last day of each monthClic,No,OXLC,6/6/2017,2.50 Million Shares,$25.00/share.,OXXDP,6/19/2017,$62.5 Million
DDT   ,Dillard's Capital Trust I,NYSE,7.50%$1.88  ,$25.00 $25.00 ,8/12/2003 8/01/2038  ,Ba1B-11/04/2020,2/1 - 5/1 - 8/1 & 11/1Click ,No,DDS,8/10/1998,8.00 Million Shares,$25.00/share.,-,-,$156.0 Million
AGO-E ,Assured Guaranty Municipal Holdings Inc.,NYSE,6.25%$1.56  ,$25.00 $25.00 ,Partial Call7/09/202111/01,Baa2A11/04/2020,2/1 - 5/1 - 8/1 & 11/1Click ,No,-,-,-,-,$208.0 Million
TBC   ,AT&T Inc.,NYSE,5.63%$1.41  ,$25.00 $25.00 ,8/01/2023 8/01/2067  ,Baa2BBB12/16/2020,2/1 - 5/1 - 8/1 & 11/1Click ,No,T,7/27/2018,30.00 Million Notes,$25.00/note.,-,-,$750.0 Million
TBB   ,AT&T,NYSE,5.35%$1.34  ,$25.00 $25.00 ,11/01/2022 11/01/2066  ,Baa2BBB12/16/2020,2/1 - 5/1 - 8/1 & 11/1Click ,No,T,10/25/2017,46.00 Million Notes,$25.00/note.,-,-,$1.1 Billion
RILYH ,B. Riley Financial,NGM,7.38%$1.84  ,$25.00 $25.75 ,Called for7/26/20215/31/20,NF NF 2/02/2021,1/31 - 4/30 - 7/31 & 10/31Cl,No,-,-,-,-,$87.7 Million
RILYG ,B. Riley Financial,NGM,7.25%$1.81  ,$25.00 $25.00 ,12/31/2020 12/31/2027  ,NF NF 2/02/2021,1/31 - 4/30 - 7/31 & 10/31Cl,No,RILY,12/6/2017,2.80 Million Notes,$25.00/note.,-,-,$70.1 Million
RILYI ,B. Riley Financial,NGM,6.88%$1.72  ,$25.00 $25.00 ,9/30/2020 9/30/2023  ,NF NF 2/02/2021,1/31 - 4/30 - 7/31 & 10/31Cl,No,RILY,9/6/2018,3.48 Million Shares,$25.00/share.,-,-,$86.6 Million
GECCL ,Great Elm Capital Corp.,NGM,6.50%$1.63  ,$25.00 $25.00 ,9/18/2019 9/18/2022  ,NF NF 11/20/2020,1/31 - 4/30 - 7/31 & 10/31Cl,No,GECC,9/14/2017,1.14 Million Notes,$25.00/note.,-,-,$28.4 Million
NRZ-B ,New Residential Investment Corp.,NYSE,FixFloat $1.78  ,$25.00 $25.00 ,8/15/2024 None  ,NR NF 7/10/2020,2/15 - 5/15 - 8/15 & 11/15Cl,No,-,8/8/2019,10.00 Million Shares,$25.00/share.,-,-,HOME PAGE:    https://www.newresi.com/
GMRE-A,Global Medical REIT,NYSE,7.50%$1.88  ,$25.00 $25.00 ,9/15/2022 None  ,NF NF 12/02/2020,1/31 - 4/30 - 7/31 & 10/31Cl,No,GMRE,9/13/2017,2.70 Million Shares,$25.00/share.,GLLFP,9/21/2017,$67.5 Million
HCXY  ,Hercules Capital,NYSE,6.25%$1.56  ,$25.00 $25.00 ,10/30/2023 10/30/2033  ,NF NF 11/04/2020,1/30 - 4/30 - 7/30 & 10/30Cl,No,HTGC,9/19/2018,1.60 Million Notes,$25.00/note.,-,-,$21.1 Million
HCXZ  ,Hercules Capital,NYSE,5.25%$1.31  ,$25.00 $25.00 ,4/30/2021 4/30/2025  ,NF NF 11/04/2020,1/30 - 4/30 - 7/30 & 10/30Cl,No,HTGC,4/23/2018,3.00 Million Notes,$25.00/note.,-,-,$74.7 Million
BAC-O ,Bank of America Corp. 4.375% Depositary Shares Non-Cumul Preferred Stock Ser NN,NYSE,4.38%$1.09375 ,$25.00 $25.00 ,11/03/2025 None  ,Baa3BBB-5/05/2021,2/3 - 5/3 - 8/3 & 11/3Click ,YES,BAC,10/27/2020,44.00 Million Shares,$25/share.,BACPL,11/03/2020,$1.1 Billion
BAC-P ,Bank of America Corp. 4.125% Depositary Shares Non-Cumul Preferred Stock Ser PP,NYSE,4.13%$1.03125 ,$25.00 $25.00 ,2/02/2026 None  ,Baa3BBB-5/05/2021,2/2 - 5/2 - 8/2 & 11/2Click ,YES,BAC,1/21/2021,36.60 Million Shares,$25/share.,BOAPL,1/29/2021,$915.0 Million
DSX-B ,Diana Shipping,NYSE,8.88%$2.22  ,$25.00 $25.00 ,2/14/2019 None  ,NF NF 1/28/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,DSX,2/10/2014,2.40 Million Shares,$25.00/share.,DSXXF,2/21/2014,$60.0 Million
DUKH  ,Duke Energy Corp.,NYSE,5.13%$1.28  ,$25.00 $25.00 ,1/15/2018 1/15/2073  ,Baa2BBB11/11/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,DUK,1/10/2013,20.00 Million Notes,$25.00/note.,-,-,$500.0 Million
ECCB  ,Eagle Point Credit Co.,NYSE,7.75%$1.94  ,$25.00 $25.00 ,10/30/2021 10/30/2026  ,NF NF 12/02/2020,last business day of each ,No,ECC,10/11/2016,1.20 Million Shares,$25.00/share.,ECRPO,10/13/2016,$30.0 Million
TWO-A ,Two Harbors Investment Corp.,NYSE,FixFloat $2.03  ,$25.00 $25.00 ,4/27/2027 None  ,NR NF 12/16/2020,1/27 - 4/27 - 7/27 & 10/27Cl,No,TWO,3/7/2017,5.00 Million Shares,$25.00/share.,TWHBP,3/16/2017,$125.0 Million
TWO-B ,Two Harbors Investment Corp.,NYSE,FixFloat $1.91  ,$25.00 $25.00 ,7/27/2027 None  ,NR NF 12/16/2020,1/27 - 4/27 - 7/27 & 10/27Cl,No,TWO,7/12/2017,10.00 Million Shares,$25.00/share.,TWHBP,7/21/2017,$250.0 Million
TWO-C ,Two Harbors Investment Corp.,NYSE,FixFloat $1.81  ,$25.00 $25.00 ,1/27/2025 None  ,NR NF 12/16/2020,1/27 - 4/27 - 7/27 & 10/27Cl,No,TWO,11/16/2017,11.00 Million Shares,$25.00/share.,TWWHP,11/28/2017,$275.0 Million
BSA   ,BrightSphere Investment Group Inc,NYSE,5.13%$1.28  ,$25.00 $25.00 ,8/01/2019 8/01/2031  ,Baa2BBB-4/04/2021,1/27 - 4/27 - 7/27 & 10/27Cl,No,BSIG,7/27/2016,5.00 Million Notes,$25.00/note.,OMAA ,$125.0 Million
AQNA  ,Algonquin Power & Utilities Corp.,NYSE,FixFloat $1.72  ,$25.00 $25.00 ,10/17/2023 None  ,NF BB+4/05/2021,1/17 - 4/17 - 7/17 & 10/17Cl,No,AQN,10/10/2018,10.00 Million Notes,$25.00/note.,-,-,$252.0 Million
AGM-F ,Federal Agricultural Mortgage Corp.,NYSE,5.25%$1.3125 ,$25.00 $25.00 ,10/17/2025 None  ,NR NR 8/14/2020,1/17 - 4/17 - 7/17 & 10/17Cl,YES,AGM,8/13/2020,4.80 Million Shares,$25/share.,AGMFP,8/26/2020,$120.0 Million
AFINO ,American Finance Trust,NGS,7.38%$1.84375 ,$25.00 $25.00 ,12/18/2025 None  ,NR NR 12/15/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,AFIN,12/14/2020,3.20 Million Shares,$25/share.,-,-,$80.0 Million
GNL-A ,Global Net Lease,NYSE,7.25%$1.81  ,$25.00 $25.00 ,9/12/2022 None  ,NF NF 12/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,GNL,9/8/2017,4.00 Million Shares,$25.00/share.,GNLPP ,$100.0 Million
GNL-B ,Global Net Lease 6.875% Series B Cumulative Redeemable Perp Preferred Stock,NYSE,6.88%$1.72  ,$25.00 $25.00 ,11/26/2024 None  ,NF NF 12/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,-,11/20/2019,3.00 Million Shares,$25.00/share.,-,-,HOME PAGE:    http://globalnetlease.com/
XOMAP ,XOMA Corp 8.625% Series A Cumulative Perpetual Preferred Stock,NGM,8.63%$2.15625 ,$25.00 $26.00 ,12/15/2021 None  ,NR NR 4/12/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,XOMA,12/11/2020,"880,000 Shares",$25/share.,-,-,$22.0 Million
SPKEP ,Spark Energy,NGS,FixFloat $2.19  ,$25.00 $25.00 ,4/15/2022 None  ,NF NF 12/16/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,SPKE,3/8/2017,1.40 Million Shares,$25.00/share.,SKYQP,3/22/2017,$35.9 Million
DCP-C ,DCP Midstream LP,NYSE,FixFloat $1.99  ,$25.00 $25.00 ,10/15/2023 None  ,B1B+12/16/2020,1/15 - 4/15 - 7/15 10/15Clic,No,DCP,10/2/2018,4.00 Million Units,$25.00/unit.,DCPUU,10/09/2018,$100.0 Million
TANNI ,TravelCenters of America Inc.,NGS,8.25%$2.06  ,$25.00 $25.00 ,1/15/2016 1/15/2028  ,NR NF 1/28/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,TA,1/8/2013,4.00 Million Notes,$25.00/note.,TANN,7/01/2016,$100.0 Million
ENR-A ,Energizer Holdings,NYSE,7.50%$7.50  ,$100.00 $100.00 ,1/15/2022 1/15/2022  ,NR NR 8/11/2020,1.7892@$55.89+ 2.1739@$45.,"1/15, 4/15, 7/15 & 10/15Cl",YES,ENR,1/14/2019,1.88 Million Shares,$100.00/share.,ENRXP,1/23/2019,$188.0 Million
TANNZ ,TravelCenters of America Inc.,NGS,8.00%$2.00  ,$25.00 $25.00 ,10/15/2018 10/15/2030  ,NR NF 1/28/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,TA,9/30/2015,4.00 Million Notes,$25.00/note.,TANP,7/01/2016,$99.8 Million
HGH   ,Hartford Financial Services Group,NYSE,Floating $1.97  ,$25.00 $25.00 ,4/15/2022 4/15/2042  ,Baa2BBB-12/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,HIG,4/3/2012,24.00 Million Notes,$25.00/note.,-,-,$600.0 Million
FRGAP ,Franchise Group,NGM,7.50%$1.875 ,$25.00 $25.00 ,9/18/2025 None  ,NR NR 9/28/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,FRG,9/15/2020,1.20 Million Shares,$25.00/share.,-,-,$30.0 Million
NSS   ,NuStar Logistics L.P.,NYSE,Floating $1.91  ,$25.00 $25.00 ,1/15/2018 1/15/2043  ,B2B11/04/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,NS,1/14/2013,14.00 Million Notes,$25.00/note.,-,-,$350.0 Million
HT-E  ,Hersha Hospitality Trust,NYSE,6.50%$1.63  ,$25.00 $25.00 ,11/07/2021 None  ,NF NF 8/31/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,HT,11/1/2016,4.00 Million Shares,$25.00/share.,HRSHP,11/09/2016,$100.0 Million
HT-C  ,Hersha Hospitality Trust,NYSE,6.88%$1.72  ,$25.00 $25.00 ,3/06/2018 None  ,NF NF 8/31/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,HT,2/25/2013,3.00 Million Shares,$25.00/share.,-,-,$75.0 Million
HT-D  ,Hersha Hospitality Trust,NYSE,6.50%$1.63  ,$25.00 $25.00 ,5/31/2021 None  ,NF NF 8/31/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,HT,5/24/2016,7.00 Million Shares,$25.00/share.,HRHPP,6/02/2016,$175.0 Million
VER-F ,VEREIT,NYSE,6.70%$1.68  ,$25.00 $25.00 ,1/03/2019 None  ,WRNR 1/20/2021,15th day of each monthClic,No,VER,1/3/2014,42.97 Million Shares,$25.00/share.,ARCPP,7/31/2015,$635.0 Million
HBANO ,Huntington Bancshares,NGS,6.25%$1.56  ,$25.00 $25.00 ,Called for7/15/2021None  ,Baa3BB+2/02/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,-,-,-,-,$350.0 Million
BC-B  ,Brunswick Corp.,NYSE,6.63%$1.66  ,$25.00 $25.00 ,1/15/2024 1/15/2049  ,Baa2BBB-4/04/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,BC,11/26/2018,4.60 Million Notes,$25.00/note.,-,-,$106.0 Million
ENBA  ,Enbridge,NYSE,6.38%$1.59  ,$25.00 $25.00 ,4/15/2023 4/15/2078  ,Ba1BBB-12/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,ENB,4/5/2018,21.00 Million Notes,$25.00/note.,-,-,$533.0 Million
BC-A  ,Brunswick Corp.,NYSE,6.50%$1.63  ,$25.00 $25.00 ,10/15/2023 10/15/2048  ,Baa2BBB-4/04/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,BC,10/1/2018,7.00 Million Notes,$25.00/note.,-,-,$174.0 Million
WTFCM ,Wintrust Financial Corp.,NGS,FixFloat $1.63  ,$25.00 $25.00 ,7/15/2025 None  ,NF NF 1/20/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,WTFC,6/22/2015,5.00 Million Shares,$25.00/share.,WTRTP,7/09/2015,$125.0 Million
HBANN ,Huntington Bancshares,NGS,5.88%$1.47  ,$25.00 $25.00 ,2/04/2018 None  ,Baa3BB+2/02/2021,2/4 - 5/4 - 8/4 & 11/4Click ,YES,HBAN,1/28/2013,4.00 Million Shares,$25.00/share.,FMER-A,8/16/2016,$100.0 Million
KIM-M ,Kimco Realty Corp.,NYSE,5.25%$1.31  ,$25.00 $25.00 ,12/20/2022 None  ,Baa2BBB-4/04/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,KIM,12/11/2017,9.20 Million Shares,$25.00/share.,KMCCP,12/20/2017,$230.0 Million
SFB   ,Stifel Financial Corp.,NYSE,5.20%$1.30  ,$25.00 $25.00 ,10/15/2022 10/15/2047  ,NF BBB-11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,SF,9/27/2017,8.00 Million Notes,$25.00/note.,-,-,$201.0 Million
KIM-L ,Kimco Realty Corp.,NYSE,5.13%$1.28  ,$25.00 $25.00 ,8/16/2022 None  ,Baa2BBB-4/04/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,KIM,8/7/2017,9.00 Million Shares,$25.00/share.,KIMRP,8/17/2017,$225.0 Million
FRT-C ,Federal Realty Investment Trust,NYSE,5.00%$1.25  ,$25.00 $25.00 ,9/29/2022 None  ,Baa1BBB11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,FRT,9/25/2017,6.00 Million Shares,$25.00/share.,FDDRP,10/06/2017,$150.0 Million
ALL-B ,Allstate Corp.,NYSE,FixFloat $1.28  ,$25.00 $25.00 ,1/15/2023 1/15/2053  ,Baa1BBB1/20/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,ALL,1/3/2013,20.00 Million Debentures,$25.00/deb.,-,-,$500.0 Million
WAFDP ,Washington Federal Dep Shares 4.875% Non-Cumulative Preferred Stock,NGM,4.88%$1.21875 ,$25.00 $25.00 ,4/15/2026 None  ,Baa3NR 2/02/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,WAFD,2/1/2021,12.00 Million Shares,$25.00/share.,WSHAP,2/11/2021,$300.0 Million
HBANP ,Huntington Bancshares 4.50% Dep Shares Series H Non-Cumul Perp Preferred Stock,NGS,4.50%$1.125 ,$25.00 $25.00 ,4/15/2026 None  ,Baa3BB+2/02/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,HBAN,2/2/2021,20.00 Million Shares,$25.00/share.,HBANL,2/25/2021,$500.0 Million
NYMTO ,New York Mortgage Trust,NCM,7.88%$1.97  ,$25.00 $25.00 ,4/22/2020 None  ,NF NF 12/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,NYMT,4/15/2015,3.60 Million Shares,$25.00/share.,NYMMP,5/04/2015,$90.0 Million
CAI-A ,CAI International,NYSE,FixFloat $2.13  ,$25.00 $25.00 ,4/15/2023 None  ,NF NR 9/11/2020,1/15 - 4/15 - 7/15 - & 10/15C,YES,CAI,3/22/2018,1.60 Million Shares,$25.00/share.,CNNLP,4/06/2018,$40.0 Million
NYMTN ,New York Mortgage Trust,NGS,FixFloat $2.00  ,$25.00 $25.00 ,10/15/2027 None  ,NF NF 12/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,NYMT,10/5/2017,5.00 Million Shares,$25.00/share.,NYMMP,10/13/2017,$125.0 Million
NYMTP ,New York Mortgage Trust,NGS,7.75%$1.94  ,$25.00 $25.00 ,6/04/2018 None  ,NF NF 12/02/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,NYMT,5/29/2013,3.00 Million Shares,$25.00/share.,-,-,$74.6 Million
CAI-B ,CAI International,NYSE,FixFloat n.a.,$25.00 $25.00 ,8/15/2023 None  ,NF NR 9/11/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,CAI,8/6/2018,1.70 Million Shares,$25.00/share.,CAIIP,8/17/2018,$42.5 Million
GBLIL ,Global Indemnity Group,NGS,7.88%$1.97  ,$25.00 $25.00 ,4/15/2022 4/15/2047  ,NF NF 11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,GBLI,3/16/2017,4.80 Million Shares,$25.00/share.,-,-,$119.0 Million
AGNCN ,AGNC Investment Corp.,NGS,FixFloat $1.75  ,$25.00 $25.00 ,10/15/2022 None  ,NF NF 12/16/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,AGNC,8/15/2017,12.00 Million Shares,$25.00/share.,AGNNP,8/28/2017,$300.0 Million
BAC-K ,Bank of America Corp.,NYSE,5.88%$1.47  ,$25.00 $25.00 ,7/24/2023 None  ,Baa3BBB-5/05/2021,1/24 - 4/24 - 7/24 &10/24Cli,YES,BAC,7/17/2018,34.16 Million Shares,$25.00/share.,BKAML,7/25/2018,$854.0 Million
YGYIP ,Youngevity International,OTOTCnOTOTCps,9.75%$2.44  ,$25.00 $25.00 ,9/23/2022 None  ,NF NF 11/04/2020,15th day of the MonthClick,YES,IPO,-,-,-,$854.0 Million
MTBCP ,CareCloud,NCM,11.00%$2.75  ,$25.00 $25.00 ,11/04/2020 None  ,NF NF 12/02/2020,15th day of each monthClic,YES,MTBC,6/26/2017,"300,000 Shares",$25.00/share.,-,-,$12.5 Million
GLOG-A,GasLog Ltd.,NYSE,8.75%$2.19  ,$25.00 $25.00 ,4/07/2020 None  ,NF NF 1/28/2021,1/1 - 4/1 - 7/1 & 10/1Click ,YES,GLOG*,3/30/2015,4.00 Million Shares,$25.00/share.,GKLGF,4/08/2015,$103.0 Million
SRG-A ,Seritage Growth Properties,NYSE,7.00%$1.75  ,$25.00 $25.00 ,12/14/2022 None  ,NF NF 11/06/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,SRG,12/7/2017,2.80 Million Shares,$25.00/share.,SRGRP,12/19/2017,$70.0 Million
QTS-A ,QTS Realty Trust,NYSE,7.13%$1.78  ,$25.00 $25.00 ,3/15/2023 None  ,NR B4/05/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,QTS,3/7/2018,4.00 Million Shares,$25.00/share.,QTTRP,3/16/2018,$100.0 Million
SHO-F ,Sunstone Hotel Investors,NYSE,6.45%$1.61  ,$25.00 $25.00 ,5/17/2021 None  ,WRNF 11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,SHO,5/10/2016,3.00 Million Shares,$25.00/share.,STNHP,5/19/2016,$75.0 Million
HTLFP ,Heartland Financial USA,NGS,Reset Rate $1.75 ,$25.00 $25.00 ,7/25/2025 None  ,NR NR 6/22/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,HTLF,6/19/2020,4.00 Million Shares,$25.00/share.,HRLLL,6/29/2020,$100.0 Million
AGO-F ,Assured Guaranty Municipal Holdings Inc.,NYSE,5.60%$1.40  ,$25.00 $25.00 ,7/31/2008 7/15/2103  ,Baa2A11/04/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,AGO,7/21/2003,4.00 Million Notes,$25.00/note.,FSF,7/30/2009,$84.1 Million
ENO   ,Entergy New Orleans,NYSE,5.50%$1.38  ,$25.00 $25.00 ,4/01/2021 4/01/2066  ,Baa2A-11/04/2020,1/1 - 4/1 - 7/1 & 10/1Click ,No,ETR,3/15/2016,4.40 Million Notes,$25.00/note.,-,-,$113.0 Million
CMSC  ,CMS Energy Corp.,NYSE,5.88%$1.47  ,$25.00 $25.00 ,10/15/2023 10/15/2078  ,Baa2BBB-4/04/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,CMS,9/20/2018,10.00 Million Notes,$25.00/note.,-,-,$250.0 Million
SOJB  ,Southern Co.,NYSE,5.25%$1.31  ,$25.00 $25.00 ,10/01/2021 10/01/2076  ,Baa3BBB10/18/2020,1/1 - 4/1 - 7/1 & 10/1Click ,No,SO,9/12/2016,32.00 Million Notes,$25.00/note.,TEMP07 ,$800.0 Million
ALL-G ,Allstate Corp.,NYSE,5.63%$1.41  ,$25.00 $25.00 ,4/15/2023 None  ,Baa3BBB-1/20/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,ALL,3/26/2018,20.00 Million Shares,$25.00/share.,ALLSP ,$500.0 Million
EMP   ,Entergy Mississippi,NYSE,4.90%$1.23  ,$25.00 $25.00 ,10/01/2021 10/01/2066  ,A2A11/04/2020,1/1 - 4/1 - 7/1 & 10/1Click ,No,ETR,9/8/2016,10.40 Million Notes,$25.00/note.,-,-,$260.0 Million
GPJA  ,Georgia Power Co.,NYSE,5.00%$1.25  ,$25.00 $25.00 ,10/01/2022 10/01/2077  ,Baa2BBB10/18/2020,1/1 - 4/1 - 7/1 & 10/1Click ,No,SO,9/19/2017,10.80 Million Notes,$25.00/note.,-,-,$270.0 Million
QTS-B ,QTS Realty Trust,NYSE,6.50%$6.50  ,$100.00 $100.00 ,7/20/2023 None  ,NR B4/05/2021,1/15 - 4/15 - 7/15 & 10/15Cl,No,QTS,6/22/2018,2.75 Million Shares,$100.00/share.,QTTTP,6/28/2018,$275.0 Million
CSSEP ,Chicken Soup for the Soul Entertainment,NGM,9.75%$2.44  ,$25.00 $25.00 ,6/27/2023 None  ,NF NF 4/04/2021,15th day of each monthClic,YES,CSSE,6/19/2018,"600,000 Shares",$25.00/share.,-,-,$15.0 Million
TGP-A ,Teekay LNG Partners L.P.,NYSE,9.00%$2.25  ,$25.00 $25.00 ,10/05/2021 None  ,NF NF 12/16/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,TGP,9/28/2016,5.00 Million Units,$25.00/unit.,TKYLF,11/18/2016,$125.0 Million
BHR-D ,Braemar Hotels & Resorts,NYSE,8.25%$2.06  ,$25.00 $25.00 ,11/20/2023 None  ,NF NF 11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,BHR,11/13/2018,1.60 Million Shares,$25.00/share.,BHRPP,11/30/2018,$40.0 Million
CHMI-A,Cherry Hill Mortgage Investment Corp.,NYSE,8.20%$2.05  ,$25.00 $25.00 ,8/17/2022 None  ,NF NF 12/16/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,CHMI,8/10/2017,2.20 Million Shares,$25.00/share.,CHMMP,8/23/2017,$55.0 Million
TGP-B ,Teekay LNG Partners L.P.,NYSE,FixFloat $2.13  ,$25.00 $25.00 ,10/15/2027 None  ,NF NF 12/16/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,TGP,10/16/2017,6.00 Million Units,$25.00/unit.,TKYYF,10/25/2017,$150.0 Million
